Age_Agegroup,Male,Female,Total
0,616843,605094,1221937
1,535669,522409,1058078
2,627496,615292,1242788
3,602260,596431,1198691
4,618171,599641,1217812
0-4,3000439,2938867,5939306
5,600714,579082,1179796
6,590310,577107,1167417
7,541370,528350,1069720
8,561120,553788,1114908
9,539155,526720,1065875
5-9,2832669,2765047,5597716
10,612711,585911,1198622
11,418412,424178,842590
12,567671,532930,1100601
13,487708,475577,963285
14,478811,450946,929757
10-14,2565313,2469542,5034855
15,459517,436317,895834
16,434776,421622,856398
17,423615,400013,823628
18,456815,430878,887693
19,348930,357060,705990
15-19,2123653,2045890,4169543
20,449030,518139,967169
21,304475,338394,642869
22,353807,415489,769296
23,327503,382716,710219
24,319290,366260,685550
20-24,1754105,2020998,3775103
25,403688,460708,864396
26,287628,318801,606429
27,301149,307594,608743
28,284397,325692,610089
29,252254,259315,511569
25-29,1529116,1672110,3201226
30,408767,436575,845342
31,209824,192856,402680
32,258945,263059,522004
33,182163,179514,361677
34,197336,190467,387803
30-34,1257035,1262471,2519506
35,322130,317533,639663
36,179097,180115,359212
37,172970,166333,339303
38,174949,188033,362982
39,155215,152257,307472
35-39,1004361,1004271,2008632
40,279503,287743,567246
41,120396,111398,231794
42,141166,133262,274428
43,104889,105089,209978
44,97640,95083,192723
40-44,743594,732575,1476169
45,188301,192067,380368
46,119888,116652,236540
47,108445,108866,217311
48,110739,116301,227040
49,107903,103583,211486
45-49,635276,637469,1272745
50,170470,185523,355993
51,80645,76227,156872
52,89270,81674,170944
53,69376,67200,136576
54,68585,67236,135821
50-54,478346,477860,956206
55,99547,100599,200146
56,70552,66347,136899
57,80332,77247,157579
58,50542,48628,99170
59,58493,59666,118159
55-59,359466,352487,711953
60,112911,124523,237434
61,51923,49182,101105
62,47456,41301,88757
63,42033,39274,81307
64,40874,44301,85175
60-64,295197,298581,593778
65,56003,63662,119665
66,30045,36258,66303
67,39141,38843,77984
68,27433,29276,56709
69,30529,39573,70102
65-69,183151,207612,390763
70,65778,82043,147821
71,22028,24074,46102
72,26080,24619,50699
73,24407,23525,47932
74,22008,24739,46747
70-74,160301,179000,339301
75,29187,34777,63964
76,17740,18245,35985
77,18039,19062,37101
78,16423,19001,35424
79,18444,27590,46034
75-79,99833,118675,218508
80+,159125,224576,383701
