Age,Male,Female,Intersex,Total
0,552508,552528,38,1105074
1,580856,573920,29,1154805
2,614005,610705,33,1224743
3,619989,621941,26,1241956
4,638986,627675,28,1266689
0-4,3006344,2986769,154,5993267
5,626157,610459,40,1236656
6,635924,635942,30,1271896
7,609615,601301,24,1210940
8,618618,616833,46,1235497
9,626637,620981,36,1247654
5-9,3116951,3085516,176,6202643
10,700526,678721,33,1379280
11,573757,591394,33,1165184
12,686954,648485,36,1335475
13,635152,628630,29,1263811
14,613371,588912,39,1202322
10-14,3209760,3136142,170,6346072
15,611376,583931,34,1195341
16,553944,541378,31,1095353
17,561688,528796,27,1090511
18,475670,457032,24,932726
19,483586,488305,35,971926
15-19,2686264,2599442,151,5285857
20,486633,523210,46,1009889
21,406910,444707,44,851661
22,406099,455328,34,861461
23,420329,477116,43,897488
24,392719,434417,39,827175
20-24,2112690,2334778,206,4447674
25,454278,485467,51,939796
26,358506,404246,27,762779
27,373128,403578,29,776735
28,318319,353653,19,671991
29,335312,367915,27,703254
25-29,1839543,2014859,153,3854555
30,449798,497944,59,947801
31,296545,324359,29,620933
32,369586,407999,24,777609
33,302318,340100,18,642436
34,280431,301485,24,581940
30-34,1698678,1871887,154,3570719
35,382439,379319,25,761783
36,256797,251332,21,508150
37,262021,241630,20,503671
38,211212,206305,16,417533
39,235726,223242,11,458979
35-39,1348195,1301828,93,2650116
40,310926,285821,20,596767
41,249854,235257,16,485127
42,233583,220164,10,453757
43,199253,199791,11,399055
44,163538,160981,6,324525
40-44,1157154,1102014,63,2259231
45,266741,247573,15,514329
46,178394,172948,11,351353
47,185808,176586,11,362405
48,132797,125840,11,258648
49,152594,146924,3,299521
45-49,916334,869871,51,1786256
50,195078,194961,24,390063
51,135462,132506,7,267975
52,124802,118504,5,243311
53,94804,94023,2,188829
54,112835,105591,6,218432
50-54,662981,645585,44,1308610
55,121805,111997,6,233808
56,120876,120548,6,241430
57,107486,126164,3,233653
58,91116,98592,4,189712
59,105680,113804,7,219491
55-59,546963,571105,26,1118094
60,128256,140094,13,268363
61,88589,95821,2,184412
62,75398,76113,4,151515
63,72341,79285,6,151632
64,54857,59240,3,114100
60-64,419441,450553,28,870022
65,82916,93842,5,176763
66,51177,55000,2,106179
67,79991,87492,3,167486
68,38762,40820,2,79584
69,58499,69664,3,128166
65-69,311345,346818,15,658178
70,76946,101211,6,178163
71,49719,56193,5,105917
72,41945,41403,1,83349
73,34684,38090,1,72775
74,32680,41651,4,74335
70-74,235974,278548,17,514539
75,30747,40719,3,71469
76,24647,35303,0,59950
77,25742,33045,3,58790
78,16805,18495,0,35300
79,21354,36258,1,57613
75-79,119295,163820,7,283122
80,28032,46137,0,74169
81,14572,21948,2,36522
82,13255,14923,0,28178
83,14465,18244,0,32709
84,12609,19709,1,32319
80-84,82933,120961,3,203897
85,11334,17469,1,28804
86,8170,10771,0,18941
87,9793,13991,0,23784
88,5071,6572,1,11644
89,9584,20851,2,30437
85-89,43952,69654,4,113610
90,6646,13876,4,20526
91,4885,8801,0,13686
92,3062,4537,0,7599
93,2434,4167,0,6601
94,2201,4488,0,6689
90-94,19228,35869,4,55101
95,3347,6046,0,9393
96,1467,2631,0,4098
97,1963,2799,0,4762
98,1137,2026,3163
99,1856,4734,0,6590
95-99,9770,18236,0,28006
100+,3876,10164,0,14040
Total,23548056,24014716,1524,47564296
